listing_id,name,price,property_type,review_scores_value,host_id,neighbourhood_id
1145641,The Map Room at Bathurst and Harbord,103,Private room in home,4.76,4966594,121
1150719,Garden Aptartment,119,Entire guest suite,4.68,6306986,111
1153863,One Bedroom and private bath by the lake,105,Private room in townhouse,4.87,6323589,78
1156413,Charming Victorian House: High Park,0,Entire home,4.26,1590126,104
1161630,Bloor & Ossington Park-front Apartment,92,Entire guest suite,5,6351139,33
1161888,Authentic Hard Loft in the Heart of Toronto,0,Entire loft,4.83,1478241,110
1162480,Chic Downtown Condo Loft + parking,137,Entire condo,4.63,6255603,101
1163664,Danforth - 1 bedroom apartment,0,Entire rental unit,4,5942147,89
1170889,COOL SPOT TORONTO-GRT DEAL-HIP HOOD,85,Private room in rental unit,4.88,6410636,95
1173944,Large Open-Concept One-Bedroom Flat,180,Entire home,4.89,1410677,72
1177149,Great affordable high quality home from home,1,Entire loft,4.92,946529,101
1194984,Spacious Room and Private Bath,59,Private room in home,4.65,6530148,104
1196880,Happy Downtown Lower Penthouse,116,Entire condo,4.75,6539250,88
1202446,Peaceful rooms @ King/Spadina,316,Private room in home,4.72,2929374,123
1214297,Beautiful Lower level/Basement Apt #1- two bedroom,145,Entire home,4.06,3604846,52
1221275,Beautiful and Stylish 2 BR Condo in DT Toronto,255,Entire rental unit,4.75,785826,123
1221280,"1 bed + Office, Balcony, Close to Subway, Downtown",124,Entire condo,4.79,6662193,7
1223097,"Colourful Apartment, Creative Space",83,Entire rental unit,4.58,6671740,4
1242683,Beautiful spacious west end house,255,Entire home,4.85,6773217,72
1254468,Oasis in Art Area of Queen West.,0,Private room in home,4.86,3406595,120
1260644,Large Victorian Home: Cabagetown,0,Entire home,0,6865871,80
1269925,Casa Meya - Toronto Poolhouse Villa,573,Entire home,4.84,6911938,96
1279122,"Cottage in the City, Subway & Park",0,Entire home,4.5,2960767,57
1289926,Downtown Getaway Suite on Park,0,Private room in home,4.78,6293331,33
1294243,Enjoy Toronto Junction Studio .,0,Entire condo,4,1025890,60
1297164,HOME is TORONTO,86,Private room in rental unit,4.91,5244098,138
1301718,Uber Upper Beach 3 Bedroom Suite,159,Entire rental unit,4.35,377846,36
1321398,Toronto Beach Paradise,138,Entire home,4.85,7173548,117
1326015,Beautiful sun filled Bloordale home,163,Entire home,4.77,2499198,33
1331304,Need a place?,0,Private room in home,0,7221344,134
1335133,Newly reno'd 2-story house in family-friendly hood,242,Entire home,4.96,613837,94
1348067,The Great Gerrard - Toronto Suite,85,Entire rental unit,4.63,377846,36
1365638,Luxury Condo@Lakeshore Blvd West,101,Private room in condo,4.86,7412574,78
1369701,Private room upstairs in artist’s home,163,Private room in home,4.81,7428349,28
1370412,Sunny Bachelor Studio,105,Entire rental unit,4.58,1102328,35
1422877,Entire home -Sheppard and Yonge,0,Entire home,4.33,7658503,130
1426591,Chic Condo in Trendy Queen West,75,Private room in rental unit,4.78,7672988,72
1455503,Large Luxury Suite in Downtown Toronto King West,201,Entire loft,4.44,4332338,88
1456369,FURNISHED BASEMENT APARTMENT IN A RAISED BUNGALOW,72,Entire guest suite,4.95,6153361,2
1462084,Spacious 1BR Near St. Lawrence Market,0,Entire condo,0,1397143,24
1477940,Toronto Modern Urban Hideaway,125,Entire home,4.54,1200367,33
1486931,Large & Bright Authentic Loft,200,Entire loft,4.86,174616,110
1510402,Private Room in Downtown Toronto RM1,86,Private room in home,4.8,4297691,33
1524783,Subletting Beautiful Home in TO,0,Entire home,0,8135652,28
1546244,"Superb Little Italy, Toronto",133,Private room in home,4.91,4991306,120
1550684,The Greenhouse Loft,203,Entire loft,4.84,2385315,35
1550882,Cozy apartment in upper mid-town,72,Entire rental unit,4.72,2788736,112
1552251,"Private Bath, Large Room, Great Bed",59,Private room in home,4.84,8267190,4
1554581,1 block from UT  campus 2 bedrms 2 baths 2 decks,0,Entire home,4.88,8277300,121
1560504,A gorgeous house in Queen West!,499,Entire home,4.81,3400584,120
1560977,Toronto Water Park City Luxury Suite,170,Entire rental unit,4.77,8306299,88
1564089,Quiet Bright 2 Bedroom Downtown!!!!,88,Entire rental unit,4.67,8300483,72
1570103,Toronto downtown mini loft!,68,Private room in guest suite,4.64,8349056,72
1578070,Unbeatable Downtown Location,499,Entire rental unit,4.64,5559775,123
1589014,Cosy Pad in heart of Little Italy,0,Entire rental unit,4.8,2144852,120
1594005,Stylish Modern Condo w/Queen Bed | CN Tower views!,0,Entire condo,4.75,6397676,123
1604069,"Away to Relax! Lake View, 2nd floor, Private Bath",125,Private room in cottage,4.93,8546454,13
1610027,Serviced spacious two bedrooms apartment,238,Entire rental unit,4.45,8569918,137
1631083,Queen Room with Shared Bathroom,149,Private room in rental unit,4.52,8569918,137
