amenity_id,amenity_name
207,"40 inch HDTV with Apple TV, Netflix, Roku, Amazon Prime Video, Disney+"
208,40 inch HDTV with Chromecast
209,"40 inch HDTV with Chromecast, DVD player, premium cable"
210,"40 inch HDTV with Chromecast, Fire TV"
211,"40 inch HDTV with Chromecast, Netflix"
212,"40 inch HDTV with Chromecast, Netflix, Amazon Prime Video"
213,"40 inch HDTV with Chromecast, premium cable"
214,40 inch HDTV with DVD player
215,"40 inch HDTV with Disney+, HBO Max, Netflix, Roku"
216,"40 inch HDTV with Disney+, Netflix"
217,40 inch HDTV with Fire TV
218,"40 inch HDTV with Fire TV, Netflix"
219,"40 inch HDTV with HBO Max, Netflix, premium cable, standard cable"
220,40 inch HDTV with Netflix
221,"40 inch HDTV with Netflix, Amazon Prime Video"
222,"40 inch HDTV with Netflix, Amazon Prime Video, Fire TV"
223,"40 inch HDTV with Netflix, Fire TV"
224,"40 inch HDTV with Netflix, Roku"
225,"40 inch HDTV with Netflix, Roku, Fire TV"
226,"40 inch HDTV with Netflix, premium cable"
227,"40 inch HDTV with Netflix, standard cable"
228,40 inch HDTV with Roku
229,"40 inch HDTV with Roku, Chromecast, standard cable, Amazon Prime Video, Netflix"
230,"40 inch HDTV with Roku, Netflix"
231,"40 inch HDTV with Roku, Netflix, Disney+"
232,40 inch HDTV with premium cable
233,"40 inch HDTV with premium cable, Chromecast, Amazon Prime Video, Netflix, DVD player, Fire TV"
234,"40 inch HDTV with premium cable, standard cable"
235,40 inch HDTV with standard cable
236,40 inch TV
237,40 inch TV with Amazon Prime Video
238,"40 inch TV with Amazon Prime Video, Fire TV, Netflix, standard cable"
239,"40 inch TV with Amazon Prime Video, Netflix"
240,"40 inch TV with Apple TV, Netflix, DVD player"
241,40 inch TV with Fire TV
242,40 inch TV with Netflix
243,"40 inch TV with Netflix, Chromecast"
244,"40 inch TV with Netflix, premium cable"
245,"40 inch TV with Netflix, standard cable"
246,40 inch TV with Roku
247,"40 inch TV with Roku, standard cable"
248,40 inch TV with premium cable
249,40 inch TV with standard cable
250,41 inch HDTV
251,42 inch HDTV
252,42 inch HDTV with Amazon Prime Video
253,"42 inch HDTV with Amazon Prime Video, Apple TV"
254,"42 inch HDTV with Amazon Prime Video, Apple TV, Chromecast, Disney+, Fire TV, Netflix, premium cable"
255,"42 inch HDTV with Amazon Prime Video, Apple TV, Chromecast, Disney+, HBO Max, Hulu, Netflix, premium cable, standard cable"
256,"42 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Fire TV, Netflix, standard cable"
257,"42 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Netflix"
258,"42 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Netflix, Roku"
259,"42 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Netflix, standard cable"
260,"42 inch HDTV with Amazon Prime Video, Apple TV, Netflix"
261,"42 inch HDTV with Amazon Prime Video, Apple TV, Netflix, premium cable"
262,"42 inch HDTV with Amazon Prime Video, Chromecast"
263,"42 inch HDTV with Amazon Prime Video, Chromecast, HBO Max, Netflix, standard cable"
264,"42 inch HDTV with Amazon Prime Video, Chromecast, standard cable, DVD player, Netflix"
265,"42 inch HDTV with Amazon Prime Video, Disney+, Fire TV, Netflix, standard cable"
266,"42 inch HDTV with Amazon Prime Video, Disney+, Netflix, Apple TV"
267,"42 inch HDTV with Amazon Prime Video, Disney+, Netflix, Roku"
268,"42 inch HDTV with Amazon Prime Video, Fire TV"
269,"42 inch HDTV with Amazon Prime Video, Fire TV, HBO Max, Netflix, premium cable, standard cable"
270,"42 inch HDTV with Amazon Prime Video, Fire TV, Netflix"
271,"42 inch HDTV with Amazon Prime Video, HBO Max, Netflix"
272,"42 inch HDTV with Amazon Prime Video, Hulu, Netflix, Roku"
273,"42 inch HDTV with Amazon Prime Video, Netflix"
274,"42 inch HDTV with Amazon Prime Video, Netflix, Chromecast"
275,"42 inch HDTV with Amazon Prime Video, Netflix, Roku"
276,"42 inch HDTV with Amazon Prime Video, Netflix, premium cable, standard cable"
